음식명,소제목,재료,링크
오이딜샐러드,상큼함과 산뜻함이 조화로운,"오이
1개",https://wtable.co.kr/recipes/sPobSe7Jb8e4owTxMRQrVGkn?location=recipe_home
올리브 레몬샷,아침 공복에 올리브 오일과 레몬 샷 한 잔으로 소화 촉진과 건강한 시작을 만들어보세요!,"엑스트라버진 올리브오일
1큰술",https://wtable.co.kr/recipes/wSZEpeewfFgczmVBvHhzHN2Y?location=recipe_home
이스라엘 샐러드,건강하고 간단한,"완숙 토마토
2개",https://wtable.co.kr/recipes/4bbdhFQmMvcoDNQKobvDkC62?location=recipe_home
차지키소스,그릭요거트로 만드는,"그릭요거트
2컵",https://wtable.co.kr/recipes/5TMbgDHoRkBu6jbTdNJxW5cK?location=recipe_home
석류레몬샷,뱃살 제거에 도움이 되는,"석류
3개",https://wtable.co.kr/recipes/gM1FTmQHpctgHpWqjnL5Ny78?location=recipe_home
스메쉬드 미니 양배추,납작하게 눌러 오븐에 구운,"미니 양배추
300g",https://wtable.co.kr/recipes/8gU8iGzSgKGwoKYmPUE1uM6W?location=recipe_home
당근 머핀,착즙 후 남은 당근으로 만드는,"당근 퍼프
1컵",https://wtable.co.kr/recipes/WF6867GpjBqzHT9prF53VAS4?location=recipe_home
두부 버섯 솥밥,혈당 부담 덜어낸 건강한 솥밥!,"쌀
2컵",https://wtable.co.kr/recipes/V54vryfEGm7edvUZbpf5qJEY?location=recipe_home
훈제오리 야채찜,담백한 오리와 야채를 한번에!,"훈제오리
1팩(400g)",https://wtable.co.kr/recipes/ybvtQXkg18BeqaVN2uus79Uh?location=recipe_home
펌킨 스파이스 라떼,"달콤한 호박과 고소한 아몬드, 향긋한 시나몬이 조화로운 가을메뉴~","늙은호박
1/4개(600g)",https://wtable.co.kr/recipes/EJ1kg8Te9Q3ph7jn2HwLj5Cr?location=recipe_home
로스트 홀 콜리플라워,콜리플라워를 통째로 구워낸 근사한 채소요리!,"콜리플라워
1개(600g)",https://wtable.co.kr/recipes/xvFGugWzS7tCwaMMWqVYU4AP?location=recipe_home
장 활력 주스,건강한 장을 위한 최고의 주스!,"그린키위
5개(700g)",https://wtable.co.kr/recipes/5dHAqVgGqLr6t59rxVCfPdQL?location=recipe_home
병아리콩 보틀샐러드,건강하고 맛잇는 밀프렙 아이디어!,"삶은 병아리콩
2컵",https://wtable.co.kr/recipes/7j6aFmAXKasu2diAbcsJkFRH?location=recipe_home
주키니 부라타 샐러드,부드러운 풍미 가득한 여름샐러드!,"주키니
1개",https://wtable.co.kr/recipes/TG7n53aevdPekbMysGS6LdiG?location=recipe_home
버터넛사과주스,호박과 사과의 영양시너지 가득한 항산화주스!,"버터넛 호박
1개",https://wtable.co.kr/recipes/MHBmQEYBN6GqfTpt9SE53nNQ?location=recipe_home
그릴드 벨 페퍼 샌드위치,채소의 풍미가 입안에서 팡팡터지는!,"샌드위치용 빵
2덩이",https://wtable.co.kr/recipes/oqVjJFAFeQ2CthDaySnBc1k4?location=recipe_home
무화과 칵테일,제철 무화과를 특별하게 즐겨요!,"무화과
300g",https://wtable.co.kr/recipes/hA7s6prucBwPwt5ADdoX7nCW?location=recipe_home
간단 콩국수,두부로 만드는,"두부(찌개용)
1모(550g)",https://wtable.co.kr/recipes/Z7iGD3zXMN1Ze6BGAR66JVGZ?location=recipe_home
토마토 주스,바이타믹스로 간편하게 만드는,"완숙 토마토
8~10개",https://wtable.co.kr/recipes/wGeQeBobuGFyr9eBEyj4WrYv?location=recipe_home
두바이 초콜릿,탕후루보다 유명해진 두바이 디저트!,"다크 초콜릿
300g",https://wtable.co.kr/recipes/orSB6i65hVsD4t7UekRjNmHS?location=recipe_home
과일 펀치,시원하고 달콤한 여름음료!,"복숭아
4개",https://wtable.co.kr/recipes/7zJDnvdayFtwwioJwG6jPueE?location=recipe_home
체리갈레트,제철 체리로 만드는 달콤한 디저트!,"밀가루
150g",https://wtable.co.kr/recipes/Rvm3RkSJhz8guh1TdRPgHxyr?location=recipe_home
토마토 주스,항산화에 좋은 건강음료,"토마토
6개",https://wtable.co.kr/recipes/HSCZfvMagDVjXtfphHjixqm2?location=recipe_home
슈퍼주스,고소한 아몬드와 달큰한 당근의 조화!,"당근
4개",https://wtable.co.kr/recipes/cspQ7bsFmYYG6PDUutFyxyAP?location=recipe_home
크리스피 포테이토 샐러드,바삭한 감자와 요거트 드레싱이 어울어진,"감자
300g",https://wtable.co.kr/recipes/qRPupnSg8DoVYgcZ58e2xkLy?location=recipe_home
얼린 토마토 부라타치즈 샐러드,부라타 치즈 위 빨간 토마토 눈이 내린,"부라타치즈
1개",https://wtable.co.kr/recipes/gF4YFKtan4g4EF5BxdvTGbaz?location=recipe_home
과일셔벗,입안을 상큼하게 해주는,"냉동 딸기
2컵",https://wtable.co.kr/recipes/wVmTefZYnMwngmPCXu6UdkMU?location=recipe_home
홍감자 오븐구이,겉바속촉,"홍감자
15개",https://wtable.co.kr/recipes/jfbjn5Kw3dtGzJMDnXmyWbAN?location=recipe_home
홍감자 샐러드,포슬포슬,"홍감자
3개(600g)",https://wtable.co.kr/recipes/YDhDKvxmjAydaBcTeHbFXtfS?location=recipe_home
옥돔죽,부드럽고 담백한,"옥돔
1마리(300g)",https://wtable.co.kr/recipes/KZKszGHvcyNao92qr1Yz6npy?location=recipe_home
옥돔무국,담백하고 시원한,"옥돔
1마리(300g)",https://wtable.co.kr/recipes/yd7zGWko5K2nDXMqxXtGQXjx?location=recipe_home
수박 카르파치오,상큼한 여름 에피타이저,"수박
1/6 개",https://wtable.co.kr/recipes/jLPNnHfHGzERiwWFszt5dSaj?location=recipe_home
버섯꼬치,캠핑메뉴로 좋은,"양송이 버섯
350g",https://wtable.co.kr/recipes/GQCueQpJRBBFT4wE6QJuSrPT?location=recipe_home
황매실청,향긋한 여름의 향,"유기농 황매실
1kg",https://wtable.co.kr/recipes/qozYgeYQu3nfxtaM2hjbeVSb?location=recipe_home
올리브 소시지 솥밥,짭조름한 소시지와 올리브의 감칠맛 가득한,"쌀
2컵",https://wtable.co.kr/recipes/rF7F5gmLrySsw7ZXZwjZR6gU?location=recipe_home
원 팟 파스타,냄비 하나로 완성하는 초간단,"파스타면
2인분",https://wtable.co.kr/recipes/EzDURnKruCpR2nGxZhfMiSMj?location=recipe_home
그릴드 브리치즈,고소한 브리치즈와 새콤한 토마토의 만남,"브리치즈
1개",https://wtable.co.kr/recipes/Tzr7zXZuJvm35s1wdzgvYLW5?location=recipe_home
그릴드 복숭아 샐러드,그릴자국을 낸 복숭아가 멋진,"복숭아
2~3개",https://wtable.co.kr/recipes/RofraF8aFP5u5rqeXnJKYzQg?location=recipe_home
과카몰리 또띠아콘,앙증맞은 핑거푸드,"토르티야
3장",https://wtable.co.kr/recipes/3PW95soZHRArnzsYBNo7e1be?location=recipe_home
아스파라거스 부라타 샐러드,싱그럽고 산뜻한,"아스파라거스
100g",https://wtable.co.kr/recipes/EZjwzNqQdGsDLKhPMwxwQ6nj?location=recipe_home
버섯 오믈렛,LG 인덕션 레시피,"표고버섯
3개(40g)",https://wtable.co.kr/recipes/ruXLjmtf8gJ5hz3NJdshHSaF?location=recipe_home
치킨버거,LG 인덕션 레시피,"닭안심
4~5조각(150g)",https://wtable.co.kr/recipes/P7rQDkUEDK4hJKpJVCaYMVd7?location=recipe_home
상하이 파스타,LG 인덕션 레시피,"파스타면
2인분(160g)",https://wtable.co.kr/recipes/41faBG1A8wBxgeE2fAaC7pLY?location=recipe_home
숏파스타 크림빠네,LG 인덕션 레시피,"통식빵
1/2개(300g)",https://wtable.co.kr/recipes/qYwkHL2WPFXqkC8n1Edzr1hS?location=recipe_home
땅콩호박 그라탕,버터 같은 풍미,"땅콩호박
1개",https://wtable.co.kr/recipes/KawLPwdjziiXFq4fbwS8bcvC?location=recipe_home
당근라페와 샌드위치,달콤한 주황빛이 가득,"당근
2개(400g)",https://wtable.co.kr/recipes/LcYSsnvDXiUju2J9EK1W2hPY?location=recipe_home
플라워피자,LG 틔운 레시피,"메리골드 꽃
한 줌",https://wtable.co.kr/recipes/TifpxTnXmCjqozKHcae1KPbq?location=recipe_home
케일 크림파스타,LG 틔운 레시피,"파스타 면
130g",https://wtable.co.kr/recipes/EMza33h2pJFTsGoRWwzwJi9g?location=recipe_home
루꼴라 파스타,LG 틔운 레시피,"루꼴라
한 줌",https://wtable.co.kr/recipes/BCzy5bbcTRWLfZMStWkhvxot?location=recipe_home
크리스마스 리스 소시지볼,LG 광파오븐 레시피,"비엔나 소시지
24개",https://wtable.co.kr/recipes/HsdLv9GWLshLyG6KCqwB8W7b?location=recipe_home
프랑스식 치킨스튜,LG 광파오븐 레시피,"닭다리살
500g",https://wtable.co.kr/recipes/3iAbfV8hgKJ7296Tfqd3F1tF?location=recipe_home
치즈버거,LG 광파오븐 레시피,"햄버거빵
2개",https://wtable.co.kr/recipes/EYZXxvgPLWioEzHbBGmk4Gkj?location=recipe_home
시금치 통닭,LG 광파오븐 레시피,"닭
1마리(800g)",https://wtable.co.kr/recipes/3F6tu4d3UHzyAFBJhq6biJsS?location=recipe_home
